-1,2,3,4,5,6, ,-1,2,3,4,5,6,7,8,9
20,-0.017,0.002,0,0,0,,20,-9.36,-2.408,0.208,0.501,0.456,0.438,0.396,0.353
35,-0.006,0.043,0.205,0.133,0.045,,35,-10.257,-3.202,-0.059,0.516,0.499,0.435,0.397,0.362
50,0,0.021,0.31,0.262,0.221,,50,-9.701,-3.309,-0.189,0.537,0.537,0.451,0.395,0.335
65,0,0.03,0.365,0.354,0.295,,65,-10.04,-3.502,-0.368,0.548,0.594,0.521,0.452,0.386
80,0,0.055,0.423,0.418,0.351,,80,-9.649,-3.476,-0.417,0.601,0.655,0.581,0.511,0.437
95,0,0.074,0.461,0.454,0.397,,95,-9.734,-3.574,-0.513,0.607,0.689,0.641,0.568,0.497
110,0,0.1,0.504,0.489,0.422,,110,-9.645,-3.569,-0.54,0.607,0.723,0.683,0.624,0.552
125,0,0.1,0.498,0.496,0.44,,125,-10.181,-3.737,-0.635,0.62,0.764,0.719,0.657,0.591
140,0,0.089,0.509,0.513,0.453,,140,-9.792,-3.631,-0.638,0.598,0.747,0.733,0.675,0.61
155,0,0.102,0.525,0.526,0.469,,155,-9.918,-3.68,-0.705,0.588,0.762,0.739,0.686,0.631
170,0,0.114,0.524,0.521,0.461,,170,-9.981,-3.732,-0.739,0.575,0.765,0.738,0.694,0.643
185,0,0.107,0.513,0.523,0,,185,-9.62,-3.636,-0.748,0.56,0.763,0.745,0.699,0
