*,1.0,0.98,0.95,0.93,0.9,0.88,0.85,0.83,0.8,0.78,0.75,0.72,0.7,0.73,0.68,0.65,0.63,0.6,0.58,0.55,0.53,0.5,0.48,0.45,0.43,0.4
1,0.847,0.824,0.797,0.799,0.769,0.783,0.767,0.762,0.757,0.774,0.0,0.795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2,0.908,0.879,0.847,0.832,0.768,0.722,0.66,0.624,0.589,0.573,0.0,0.524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3,0.905,0.85,0.8,0.765,0.728,0.705,0.655,0.626,0.597,0.555,0.023,0.477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.002,0.007,0.0,0
4,0.906,0.825,0.768,0.718,0.663,0.629,0.573,0.529,0.484,0.416,0.141,0.284,0.047,0.08,0.04,0.04,0.032,0.028,0.028,0.024,0.023,0.018,0.01,0.005,0.002,0.0,0
5,0.891,0.762,0.684,0.619,0.542,0.49,0.426,0.356,0.294,0.227,0.138,0.117,0.069,0.095,0.046,0.033,0.02,0.014,0.01,0.004,0.001,0.0,0.0,0.0,0.0,0.0,0
6,0.833,0.669,0.572,0.493,0.395,0.331,0.254,0.196,0.147,0.093,0.064,0.031,0.025,0.037,0.014,0.006,0.003,0.002,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
7,0.769,0.583,0.452,0.356,0.266,0.195,0.136,0.095,0.057,0.028,0.018,0.008,0.005,0.007,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
8,0.688,0.456,0.329,0.243,0.16,0.102,0.064,0.043,0.023,0.009,0.004,0.001,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
9,0.603,0.359,0.238,0.17,0.092,0.051,0.03,0.017,0.008,0.002,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
10,0.531,0.279,0.167,0.109,0.055,0.029,0.012,0.005,0.002,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
11,0.449,0.219,0.125,0.071,0.034,0.014,0.003,0.002,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
12,0.346,0.17,0.088,0.043,0.018,0.005,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
13,0.263,0.13,0.061,0.029,0.006,0.002,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
14,0.21,0.093,0.042,0.01,0.003,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
15,0.175,0.068,0.025,0.005,0.002,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
16,0.14,0.044,0.01,0.002,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
17,0.118,0.032,0.005,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
18,0.098,0.018,0.003,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
19,0.08,0.01,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
