InputSequence Length,Channel Flip Prob,Context Length,Markov Transition Probabilities,No. of Errors,No of changes by DUDE,Number of right changes,fraction of changes,fraction of right changes,net Correction,Coverage Depth,Ratio
0,0.02,6,-1.0,898,0,0,0.0,0.0,0.0,50,-1
0,0.02,5,-1.0,898,0,0,0.0,0.0,0.0,50,-1
0,0.02,5,-1.0,598,0,0,0.0,0.0,0.0,30,-1
0,0.02,9,-1.0,482,0,0,0.0,0.0,0.0,25,-1
0,0.02,8,-1.0,482,0,0,0.0,0.0,0.0,25,-1
0,0.02,7,-1.0,482,0,0,0.0,0.0,0.0,25,-1
0,0.02,6,-1.0,482,0,0,0.0,0.0,0.0,25,-1
0,0.02,5,-1.0,482,0,0,0.0,0.0,0.0,25,-1
0,0.02,9,-1.0,388,0,0,0.0,0.0,0.0,20,-1
0,0.02,8,-1.0,388,0,0,0.0,0.0,0.0,20,-1
0,0.02,7,-1.0,388,0,0,0.0,0.0,0.0,20,-1
0,0.02,6,-1.0,388,0,0,0.0,0.0,0.0,20,-1
0,0.02,5,-1.0,388,0,0,0.0,0.0,0.0,20,-1
0,0.02,9,-1.0,441,0,0,0.0,0.0,0.0,25,-1
0,0.02,8,-1.0,441,0,0,0.0,0.0,0.0,25,-1
0,0.02,7,-1.0,441,0,0,0.0,0.0,0.0,25,-1
0,0.02,6,-1.0,441,0,0,0.0,0.0,0.0,25,-1
0,0.02,5,-1.0,441,0,0,0.0,0.0,0.0,25,-1
0,0.02,9,-1.0,345,0,0,0.0,0.0,0.0,20,-1
0,0.02,8,-1.0,345,0,0,0.0,0.0,0.0,20,-1
0,0.02,7,-1.0,345,0,0,0.0,0.0,0.0,20,-1
0,0.02,6,-1.0,345,0,0,0.0,0.0,0.0,20,-1
0,0.02,5,-1.0,345,0,0,0.0,0.0,0.0,20,-1
0,0.02,5,-1.0,555,0,0,0.0,0.0,0.0,30,-1
0,0.02,6,-1.0,473,0,0,0.0,0.0,0.0,25,-1
0,0.02,5,-1.0,473,0,0,0.0,0.0,0.0,25,-1
0,0.02,6,-1.0,372,0,0,0.0,0.0,0.0,20,-1
0,0.02,5,-1.0,372,0,0,0.0,0.0,0.0,20,-1
0,0.02,6,-1.0,142,28,28,0.196,0.196,0.196,45,-1
0,0.02,5,-1.0,142,42,42,0.294,0.294,0.294,45,-1
0,0.02,6,-1.0,126,35,35,0.276,0.276,0.276,40,-1
0,0.02,5,-1.0,126,35,35,0.276,0.276,0.276,40,-1
0,0.02,6,-1.0,91,14,14,0.152,0.152,0.152,35,-1
0,0.02,5,-1.0,91,19,19,0.207,0.207,0.207,35,-1
0,0.02,6,-1.0,93,0,0,0.0,0.0,0.0,30,-1
0,0.02,5,-1.0,93,0,0,0.0,0.0,0.0,30,-1
0,0.02,6,-1.0,76,0,0,0.0,0.0,0.0,25,-1
0,0.02,5,-1.0,76,0,0,0.0,0.0,0.0,25,-1
0,0.02,6,-1.0,65,0,0,0.0,0.0,0.0,20,-1
0,0.02,5,-1.0,65,0,0,0.0,0.0,0.0,20,-1
0,0.02,9,-1.0,438,115,115,0.262,0.262,0.262,155,-1
0,0.02,8,-1.0,438,126,126,0.287,0.287,0.287,155,-1
0,0.02,7,-1.0,438,136,136,0.31,0.31,0.31,155,-1
0,0.02,6,-1.0,438,153,153,0.349,0.349,0.349,155,-1
0,0.02,5,-1.0,438,176,176,0.401,0.401,0.401,155,-1
0,0.02,9,-1.0,471,80,80,0.169,0.169,0.169,150,-1
0,0.02,8,-1.0,471,103,103,0.218,0.218,0.218,150,-1
0,0.02,7,-1.0,471,116,116,0.246,0.246,0.246,150,-1
0,0.02,6,-1.0,471,128,128,0.271,0.271,0.271,150,-1
0,0.02,5,-1.0,471,138,138,0.292,0.292,0.292,150,-1
0,0.02,5,-1.0,442,143,143,0.323,0.323,0.323,150,-1
0,0.02,6,-1.0,443,121,121,0.273,0.273,0.273,150,-1
0,0.02,5,-1.0,443,132,132,0.297,0.297,0.297,150,-1
