InputSequence Length,Channel Flip Prob,Context Length,Markov Transition Probabilities,No. of Errors,No of changes by DUDE,Number of right changes,fraction of changes,fraction of right changes,net Correction,Coverage Depth,Ratio,Alpha,DudeWin
0,0.05,8,-1.0,3789,2252,4840,0.594,0.47,0.346,80,-1,0,0
0,0.05,7,-1.0,3789,2481,5499,0.655,0.534,0.41300000000000003,80,-1,0,0
0,0.05,6,-1.0,3789,2787,6125,0.735,0.595,0.45499999999999996,80,-1,0,0
0,0.05,5,-1.0,3789,3448,6919,0.91,0.567,0.22399999999999987,80,-1,0,0
0,0.05,9,-1.0,2632,1170,2290,0.444,0.359,0.27399999999999997,55,-1,0,0
0,0.05,8,-1.0,2632,1332,2842,0.506,0.433,0.36,55,-1,0,0
0,0.05,7,-1.0,2632,1503,3291,0.571,0.484,0.397,55,-1,0,0
0,0.05,6,-1.0,2632,1677,3647,0.637,0.53,0.42300000000000004,55,-1,0,0
0,0.05,5,-1.0,2632,2118,4102,0.804,0.523,0.242,55,-1,0,0
0,0.05,9,-1.0,1351,533,1014,0.394,0.357,0.31999999999999995,30,-1,0,0
0,0.05,8,-1.0,1351,617,1158,0.456,0.403,0.35000000000000003,30,-1,0,0
0,0.05,7,-1.0,1351,685,1286,0.507,0.447,0.387,30,-1,0,0
0,0.05,6,-1.0,1351,782,1468,0.578,0.509,0.44000000000000006,30,-1,0,0
0,0.05,5,-1.0,1351,929,1646,0.687,0.533,0.379,30,-1,0,0
