InputSequence Length,Channel Flip Prob,Context Length,Markov Transition Probabilities,No. of Errors,No of changes by DUDE,Number of right changes,fraction of changes,net Correction,Coverage Depth,Ratio,Alpha,DudeWin
0,0.05,8,-1.0,1253,583,1057,0.465,0.38,26,-1,0,0
0,0.05,7,-1.0,1253,646,1202,0.515,0.426,26,-1,0,0
0,0.05,6,-1.0,1253,757,1444,0.604,0.487,26,-1,0,0
0,0.05,5,-1.0,1253,909,1717,0.725,0.508,26,-1,0,0
0,0.05,9,-1.0,859,302,548,0.351,0.287,18,-1,0,0
0,0.05,8,-1.0,859,355,646,0.413,0.34,18,-1,0,0
0,0.05,7,-1.0,859,402,748,0.467,0.403,18,-1,0,0
0,0.05,6,-1.0,859,456,856,0.53,0.467,18,-1,0,0
0,0.05,5,-1.0,859,545,976,0.634,0.505,18,-1,0,0
0,0.05,9,-1.0,471,137,240,0.29,0.227,10,-1,0,0
0,0.05,8,-1.0,471,162,286,0.343,0.269,10,-1,0,0
0,0.05,7,-1.0,471,189,338,0.4,0.322,10,-1,0,0
0,0.05,6,-1.0,471,229,418,0.485,0.407,10,-1,0,0
0,0.05,5,-1.0,471,277,500,0.587,0.477,10,-1,0,0
