InputSequence Length,Channel Flip Prob,Context Length,Markov Transition Probabilities,No. of Errors,No of changes by DUDE,Number of right changes,fraction of changes,fraction of right changes,net Correction,Coverage Depth,Ratio,Alpha,DudeWin
0,0.05,9,-1.0,949,0,0,0.0,0.0,0.0,20,-1,0,0
0,0.05,8,-1.0,949,0,0,0.0,0.0,0.0,20,-1,0,0
0,0.05,7,-1.0,949,0,0,0.0,0.0,0.0,20,-1,0,0
0,0.05,6,-1.0,949,0,0,0.0,0.0,0.0,20,-1,0,0
0,0.05,5,-1.0,949,0,0,0.0,0.0,0.0,20,-1,0,0
0,0.05,9,-1.0,956,0,0,0.0,0.0,0.0,20,-1,0,0
0,0.05,8,-1.0,956,0,0,0.0,0.0,0.0,20,-1,0,0
0,0.05,7,-1.0,956,0,0,0.0,0.0,0.0,20,-1,0,0
0,0.05,6,-1.0,956,0,0,0.0,0.0,0.0,20,-1,0,0
0,0.05,5,-1.0,956,0,0,0.0,0.0,0.0,20,-1,0,0
0,0.05,9,-1.0,966,0,0,0.0,0.0,0.0,20,-1,0,0
0,0.05,8,-1.0,966,0,0,0.0,0.0,0.0,20,-1,0,0
0,0.05,7,-1.0,966,0,0,0.0,0.0,0.0,20,-1,0,0
0,0.05,6,-1.0,966,0,0,0.0,0.0,0.0,20,-1,0,0
0,0.05,5,-1.0,966,0,0,0.0,0.0,0.0,20,-1,0,0
0,0.05,8,-1.0,936,0,0,0.0,0.0,0.0,20,-1,0,0
0,0.05,7,-1.0,936,0,0,0.0,0.0,0.0,20,-1,0,0
0,0.05,6,-1.0,936,0,0,0.0,0.0,0.0,20,-1,0,0
0,0.05,5,-1.0,936,0,0,0.0,0.0,0.0,20,-1,0,0
0,0.05,5,-1.0,994,19499,1152,19.597,1.158,-17.281000000000002,20,-1,0,-517
0,0.05,5,-1.0,997,19262,1106,19.301,1.108,-17.084999999999997,20,-1,0,-496
